mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,spectrogram_mean,spectrogram_median,spectrogram_variance,label
-218.01784,40.53917,-119.33485,40.48532,-27.898201,41.42784,34.122173,3.932348,-21.653778,3.2559454,1.4945954,14.454516,0.87606776,2168.101286,1129.601099,0.213179155,0.8381928,0.28625745,1.9670162,1
-286.4641,87.08217,-17.598814,-29.217012,-2.2731454,3.2636564,-6.3026357,-14.522887,15.473373,1.9709544,-19.13326,-2.116539,-11.843278,1131.202989,1290.850726,0.065316134,0.7870022,0.09888531,7.5453463,1
-350.18124,92.90518,-1.135957,-11.521478,3.8112159,12.682332,6.5914044,-2.4985971,12.220329,-0.78094083,-14.430743,-5.8952427,-7.5665255,1000.21778,1212.745915,0.057689229,0.51899683,0.069206215,1.5116804,1
-277.796,90.78644,-21.000902,-19.858387,-0.63495654,4.022519,-2.3967347,-11.437748,10.794314,0.85691625,-15.577011,-4.3177085,-10.726503,1215.088016,1329.600515,0.082897949,0.81002337,0.14168467,3.2436163,1
-343.81476,99.926994,-4.469515,-3.361786,8.603253,16.604673,6.0186276,-1.6343963,11.969249,1.9309739,-12.439679,-1.1907165,-0.5714555,1042.197596,1151.29653,0.074534255,0.4267192,0.06001777,1.3699843,1
-297.5278,67.875725,-16.983648,-18.359835,-8.924493,17.697472,1.6149383,-7.5371842,7.0075893,-6.124591,-14.205718,-0.6394428,8.332856,1360.636672,1378.539134,0.089779713,0.8163393,0.16201712,6.88295,1
-360.73373,95.04746,-19.291445,4.2758465,3.2824383,1.1339585,-6.2004356,-2.2026422,-3.9127343,0.3742474,-10.767137,3.356768,4.3300986,1284.76566,1304.354384,0.09903543,0.60586023,0.13057014,0.9888877,1
-274.60846,133.70833,-52.881073,-7.152884,0.15444517,-7.595336,-10.704592,-10.481044,-10.564928,8.634743,1.4754779,-3.3794074,-9.68429,1268.61174,1112.236817,0.099804688,0.75623673,0.057930462,2.7592862,1
-264.04526,130.00333,-38.429993,-2.267761,3.2727137,-11.191477,-22.323952,-10.151893,-10.416012,-3.6612763,-8.36726,-1.973798,12.409903,1089.272937,1010.678182,0.078941127,0.79155296,0.06034537,5.4028544,1
-265.28476,123.42111,-51.4177,-8.881509,-12.820036,-4.8801804,-10.155329,-10.463393,-1.4178283,9.742234,-6.602212,-14.479984,-9.177483,1058.564209,948.3974262,0.086726777,0.8608658,0.062193673,5.909321,1
-361.17703,122.946205,-9.539314,-2.7343383,7.0535064,7.7245474,3.4392493,-4.32153,-8.243849,3.949296,-5.8902116,-3.6242669,3.3959086,1113.029728,1236.718612,0.07405216,0.45914665,0.020841414,1.198534,1
-326.08,55.1892,-65.2356,34.80262,6.634877,32.12024,21.593958,-7.570262,-10.651665,8.700947,6.4410963,1.7302861,-12.579238,1910.260967,1228.449685,0.171291111,0.25836188,0.07073369,0.36730558,1
-222.38397,145.14833,-28.389143,-10.097555,-19.239824,-0.60027707,0.6302595,-0.33666354,-30.58681,3.6181746,-7.421025,-5.3206706,6.457239,957.1009811,993.7010745,0.067454945,1.0539662,0.074825466,11.157095,1
-344.8588,101.18869,-32.011715,-31.716032,-8.912258,3.627421,-1.067117,-5.394975,-5.9045196,-3.1251967,-4.430014,4.1357107,17.902508,1093.883461,983.6344041,0.093420557,0.56728363,0.021473868,6.6809673,1
-322.02213,141.26599,-13.327945,-13.466992,-0.46082228,11.578183,-2.6634624,-6.47911,-2.6086245,6.0531225,-5.0491457,-7.4311357,-3.767568,856.7488953,946.1313563,0.066650391,0.6012152,0.031141836,2.4075663,1
-249.88785,49.45909,-70.05252,2.8675745,-5.460379,6.137864,-16.109772,-4.1761966,-17.800728,10.179206,-5.3725452,24.664312,16.783062,1905.989983,1416.931905,0.130382449,1.1237504,0.25905198,9.866227,1
